Player,Prop Type,Prop Value,League
,Assists,0.5,
,Tackles,0.5,
,Shots On Target,1.5,
,Shots,0.5,
,Cards,0.5,
,Tackles,2.5,
,Shots On Target,0.5,
,Goals,0.5,
,Assists,0.5,
,Shots,2.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Shots On Target,0.5,
,Shots On Target,1.5,
,Cards,0.5,
,Tackles,1.5,
,Shots,1.5,
,Tackles,0.5,
,Goal + Assist,0.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Shots,0.5,
,Goals,0.5,
,Cards,0.5,
,Shots,1.5,
,Cards,0.5,
,Goals,0.5,
,Shots,0.5,
,Shots On Target,0.5,
,Shots,1.5,
,Tackles,2.5,
,Tackles,1.5,
,Shots,2.5,
,Assists,0.5,
,Goals,0.5,
,Shots,1.5,
,Tackles,0.5,
,Shots On Target,0.5,
,Tackles,1.5,
,Goals,0.5,
,Shots,1.5,
,Shots On Target,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Shots,0.5,
,Assists,0.5,
,Tackles,3.5,
,Shots,1.5,
,Shots On Target,0.5,
,Tackles,2.5,
,Cards,0.5,
,1st Inning Runs,19.5,
,1st Inning Runs,21.0,
,1st Inning Runs,17.5,
,Fours,1.5,
,1st Inning Runs,20.0,
,Fours,1.5,
,1st Inning Runs,21.5,
,1st Inning Runs,18.5,
,Sixes,0.5,
,1st Inning Runs,15.0,
,1st Inning Runs,18.5,
,MAPS 1-2 Kills,26.5,
,MAPS 1-2 Kills,27.0,
,MAPS 1-2 Kills,28.5,
,MAPS 1-2 Kills,24.0,
,MAPS 1-2 Kills,27.5,
,MAPS 1-2 Kills,32.0,
,MAPS 1-2 Kills,30.5,
,MAPS 1-2 Kills,23.5,
,MAPS 1-2 Kills,31.5,
,MAPS 1-2 Kills,29.0,
,MAPS 1-2 Headshots,9.5,
,MAPS 1-2 Headshots,13.5,
,MAPS 1-2 Headshots,14.5,
,MAPS 1-2 Headshots,13.0,
,MAPS 1-2 Headshots,14.5,
,MAPS 1-2 Headshots,10.5,
,MAPS 1-2 Headshots,19.5,
,MAPS 1-2 Headshots,12.5,
,MAPS 1-2 Headshots,16.5,
,MAPS 1-2 Headshots,17.0,
,MAPS 1-2 Kills,29.5,
,MAPS 1-2 Kills,25.5,
,MAPS 1-2 Kills,31.5,
,MAPS 1-2 Kills,28.5,
,MAPS 1-2 Kills,33.5,
,MAPS 1-2 Kills,25.5,
,MAPS 1-2 Kills,24.0,
,MAPS 1-2 Kills,28.5,
,MAPS 1-2 Kills,26.0,
,MAPS 1-2 Kills,24.0,
,MAPS 1-2 Headshots,17.0,
,MAPS 1-2 Headshots,13.5,
,MAPS 1-2 Headshots,11.0,
,MAPS 1-2 Headshots,12.0,
,MAPS 1-2 Headshots,20.0,
,MAPS 1-2 Headshots,15.0,
,MAPS 1-2 Headshots,13.5,
,MAPS 1-2 Headshots,14.5,
